"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","2450","100","Song","US","0.00000","7.35",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","890","100","Song","GB","0.00000","2.67",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","650","100","Song","DE","0.00000","1.95",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","420","100","Song","FR","0.00000","1.26",""
"2025-01-15","2025-01-15","2024-12","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1200","100","Song","US","0.00000","5.28",""
"2025-01-15","2025-01-15","2024-12","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","380","100","Song","CA","0.00000","1.67",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","3200","100","Song","US","0.00000","9.60",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","1100","100","Song","MX","0.00000","3.30",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","780","100","Song","BR","0.00000","2.34",""
"2025-01-15","2025-01-15","2024-12","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","8500","100","Song","US","0.00000","4.25",""
"2025-01-15","2025-01-15","2024-12","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","12000","100","Song","BR","0.00000","6.00",""
"2025-01-15","2025-01-15","2024-12","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","850","100","Song","US","0.00000","3.97",""
"2025-01-15","2025-01-15","2024-12","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","320","100","Song","JP","0.00000","1.49",""
"2025-01-15","2025-01-15","2024-12","YouTube Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","1800","100","Song","US","0.00000","5.40",""
"2025-01-15","2025-01-15","2024-12","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","560","100","Song","FR","0.00000","2.52",""
"2025-01-15","2025-01-15","2024-12","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","280","100","Song","ES","0.00000","1.26",""
"2025-01-15","2025-01-15","2024-12","Tidal","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","180","100","Song","NO","0.00000","0.97",""
"2025-01-15","2025-01-15","2024-12","Tidal","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","95","100","Song","SE","0.00000","0.51",""
"2025-01-15","2025-01-15","2024-11","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","2100","100","Song","US","0.00000","6.30",""
"2025-01-15","2025-01-15","2024-11","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","750","100","Song","GB","0.00000","2.25",""
"2025-01-15","2025-01-15","2024-11","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","2800","100","Song","US","0.00000","8.40",""
"2025-01-15","2025-01-15","2024-11","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","950","100","Song","MX","0.00000","2.85",""
"2025-01-15","2025-01-15","2024-11","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","920","100","Song","US","0.00000","4.05",""
"2025-01-15","2025-01-15","2024-11","Amazon Music","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","480","100","Song","US","0.00000","2.24",""
"2025-01-15","2025-01-15","2024-10","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1850","100","Song","US","0.00000","5.55",""
"2025-01-15","2025-01-15","2024-10","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","620","100","Song","GB","0.00000","1.86",""
"2025-01-15","2025-01-15","2024-10","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","2400","100","Song","US","0.00000","7.20",""
"2025-01-15","2025-01-15","2024-10","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1050","100","Song","US","0.00000","4.62",""
"2025-01-15","2025-01-15","2024-10","YouTube Music","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","1400","100","Song","US","0.00000","4.20",""
"2025-01-15","2025-01-15","2024-09","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1600","100","Song","US","0.00000","4.80",""
"2025-01-15","2025-01-15","2024-09","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","2100","100","Song","US","0.00000","6.30",""
"2025-01-15","2025-01-15","2024-09","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","780","100","Song","US","0.00000","3.43",""
"2025-01-15","2025-01-15","2024-09","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","420","100","Song","FR","0.00000","1.89",""
"2025-01-15","2025-01-15","2024-08","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1350","100","Song","US","0.00000","4.05",""
"2025-01-15","2025-01-15","2024-08","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","1800","100","Song","US","0.00000","5.40",""
"2025-01-15","2025-01-15","2024-08","Amazon Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","650","100","Song","US","0.00000","3.03",""
"2025-01-15","2025-01-15","2024-07","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","1100","100","Song","US","0.00000","3.30",""
